C1 	C0603_3_C0603_0.1 	0.1 	  	C0603 	99.0400 	105.6700 	180.000 	YES
C2_11 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	45.0000 	83.9000 	0.000 	YES
C2_12 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	29.1000 	83.1000 	180.000 	NO
C2_13 	CP B_0_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	36.0000 	88.0000 	180.000 	YES
C2_14 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	34.4000 	90.5000 	0.000 	YES
C2_15 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	44.9000 	89.0000 	0.000 	YES
C2_16 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	21.9000 	88.4000 	90.000 	NO
C2_17 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	28.8000 	88.8000 	180.000 	YES
C2_18 	CP B_0_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	28.8000 	86.7000 	180.000 	YES
C2_19 	C0805_1_C0603_68PF 	68pF 	  	C0603 	30.1000 	94.9000 	270.000 	YES
C2_20 	C0805_1_C0603_150PF 	150pF 	  	C0603 	21.4000 	94.9000 	270.000 	YES
C2_21 	C0805_1_C0603_220PF 	220pF 	  	C0603 	44.3000 	94.9000 	270.000 	YES
C2_22 	C0805_1_C0603_470PF 	470pF 	  	C0603 	35.6000 	94.9000 	270.000 	YES
C2_23 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	24.0000 	99.5000 	180.000 	YES
C2_24 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	38.2000 	99.5000 	180.000 	YES
C2_25 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	27.3000 	94.2000 	0.000 	YES
C2_26 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	41.5000 	94.2000 	0.000 	YES
C2_27 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	43.4000 	107.1000 	90.000 	YES
C2_28 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	37.3000 	103.1000 	180.000 	YES
C2_29 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	32.6000 	111.9000 	180.000 	YES
C2_30 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	32.6000 	108.5000 	180.000 	YES
C2_31 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	18.3000 	109.9000 	270.000 	YES
C2_32 	C0805_1_C0603_220PF 	220pF 	  	C0603 	46.3000 	115.3000 	270.000 	YES
C2_33 	C0805_1_C0603_470PF 	470pF 	  	C0603 	34.1000 	115.3000 	270.000 	YES
C2_34 	C0805_1_C0603_1000PF 	1000pF 	  	C0603 	32.2000 	115.3000 	270.000 	YES
C2_35 	C0805_1_C0603_1500PF 	1500pF 	  	C0603 	19.7000 	115.3000 	270.000 	YES
C2_36 	C0805_1_C0603_33PF 	33pF 	  	C0603 	45.1000 	118.0000 	0.000 	YES
C2_37 	C0805_1_C0603_68PF 	68pF 	  	C0603 	35.2000 	118.0000 	180.000 	YES
C2_38 	C0805_1_C0603_150PF 	150pF 	  	C0603 	31.1000 	118.0000 	0.000 	YES
C2_39 	C0805_1_C0603_330PF 	330pF 	  	C0603 	20.7000 	118.1000 	180.000 	YES
C2_40 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	26.6000 	109.9000 	90.000 	YES
C2_41 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	38.5000 	122.0000 	180.000 	YES
C2_42 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	27.5000 	122.1000 	0.000 	YES
C2_43 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	41.8000 	116.7000 	0.000 	YES
C2_44 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	27.6000 	116.7000 	0.000 	YES
C2_45 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	26.9000 	102.9000 	90.000 	YES
C2_46 	C0805_1_C0603_75PF 	75pF 	  	C0603 	31.2000 	127.6000 	180.000 	YES
C2_47 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	18.3000 	103.0000 	270.000 	YES
C2_48 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	41.5000 	127.5000 	0.000 	YES
C2_49 	C0805_1_C0603_220PF 	220pF 	  	C0603 	39.6000 	129.3000 	0.000 	YES
C2_50 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	34.5000 	127.6000 	180.000 	YES
C2_51 	C0805_1_C0603_220PF 	220pF 	  	C0603 	32.6000 	110.4000 	180.000 	YES
C3_4 	C0805_1_C0603_1UFX25V 	1uFx25V 	  	C0603 	86.7000 	93.0000 	270.000 	NO
C3_5 	C0805_1_C0603_1UFX25V 	1uFx25V 	  	C0603 	52.0000 	128.0000 	180.000 	YES
C3_6 	C0805_1_C0603_1UFX25V 	1uFx25V 	  	C0603 	56.0200 	117.0500 	0.000 	YES
C3_9 	C0603_3_C0603_10NF 	10nF 	  	C0603 	83.8000 	96.9000 	0.000 	NO
C3_10 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	81.1000 	95.6000 	90.000 	NO
C3_13 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	51.5000 	124.0000 	0.000 	YES
C3_14 	C0603_3_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	51.5000 	125.6000 	0.000 	YES
C3_15 	C0603_3_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	71.7000 	92.7000 	0.000 	YES
C3_16 	C0805_1_C0603_1UFX25V 	1uFx25V 	  	C0603 	74.9700 	93.2300 	90.000 	NO
C3_17 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	79.0600 	93.7100 	270.000 	YES
C3_20 	C0805_1_C0603_2.2UFX16V 	2.2uFx16V 	  	C0603 	77.2000 	94.0000 	180.000 	NO
C3_21 	C0805_1_C0603_1UFX25V 	1uFx25V 	  	C0603 	79.4800 	93.2400 	90.000 	NO
C3_22 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	71.7000 	91.2000 	180.000 	YES
C3_23 	C0603_3_C0603_51PF 5% 	51pF 5% 	  	C0603 	75.1000 	93.6000 	0.000 	YES
C3_24 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	77.2000 	91.9000 	0.000 	NO
C3_25 	C0603_3_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	72.5000 	91.8000 	90.000 	NO
C3_26 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	70.8000 	89.4600 	180.000 	NO
C3_27 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	70.8000 	89.4000 	0.000 	YES
C3_31 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	76.9500 	82.6600 	90.000 	YES
C3_33 	C0603_3_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	76.9000 	82.7000 	270.000 	NO
C3_34 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	51.5000 	122.4000 	0.000 	YES
C3_36 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	53.7500 	120.3800 	90.000 	YES
C3_37 	C0603_3_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	80.5000 	94.5000 	270.000 	YES
C4_42 	C0603_3_C0603_0.47UFX16V 	0.47uFx16V 	  	C0603 	214.2000 	45.4000 	180.000 	YES
C4_43 	C0603_3_C0603_2.2UFX16V 	2.2uFx16V 	  	C0603 	220.3800 	43.0000 	180.000 	YES
C4_44 	C0603_3_C0603_2.2UFX16V 	2.2uFx16V 	  	C0603 	218.4000 	53.0000 	270.000 	YES
C5_2 	C0805_1_C1206_10UFX25V 	10uFx25V 	  	C1206 	83.2600 	131.0300 	90.000 	NO
C5_4 	CP D_1_C1206_2.2UFX25V 	2.2UFx25V 	  	C1206 	229.4000 	78.8000 	0.000 	NO
C5_5 	C0805_1_C0603_1UFX25V 	1uFx25V 	  	C0603 	93.8100 	12.0300 	180.000 	YES
C5_6 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	233.2000 	85.8000 	270.000 	YES
C5_7 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	224.7100 	82.8100 	180.000 	NO
C5_8 	C0805_1_C0603_56NF 	56nF 	  	C0603 	222.0000 	76.8000 	90.000 	YES
C5_9 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	87.4800 	23.8900 	270.000 	YES
C5_10 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	87.6400 	16.7200 	90.000 	YES
C5_11 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	225.1900 	80.5400 	90.000 	NO
C5_12 	C0805_1_C0603_1UFX25V 	1uFx25V 	  	C0603 	220.0000 	78.9000 	0.000 	NO
C5_13 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	224.6000 	79.8000 	0.000 	YES
C5_14 	CP D_1_C1210_10UFX50V_Y5V 	10UFx50V_Y5V 	  	C1210 	85.7700 	11.8400 	180.000 	NO
C5_15 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	77.1000 	25.1000 	90.000 	YES
C5_16 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	78.4300 	30.8500 	180.000 	YES
C5_17 	CP D_0_350TXW8X30_NEG_22UFX350V 	22UFx350V 	  	350TXW8X30_NEG 	72.5000 	4.5000 	0.000 	NO
C5_18 	C0805_1_C0805_2.2UFX25V 	2.2uFx25V 	  	C0805 	222.4000 	85.7000 	270.000 	YES
C5_19 	C0805_1_C0603_1UFX25V 	1uFx25V 	  	C0603 	213.3000 	83.3000 	0.000 	YES
C5_20 	CP D_1_C1206_10UFX50V 	10UFx50V 	  	C1206 	217.5000 	90.7000 	180.000 	NO
C5_21 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	219.8000 	86.5000 	270.000 	YES
C5_22 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	71.9200 	28.8200 	180.000 	YES
C5_23 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	75.1100 	28.8400 	270.000 	YES
C5_24 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	221.0200 	54.9900 	270.000 	NO
C5_25 	C0603_3_C0603_0.47UFX16V 	0.47uFx16V 	  	C0603 	224.2500 	55.0200 	270.000 	NO
C5_26 	C0603_3_C0603_0.01UFX50V 	0.01uFx50V 	  	C0603 	222.0600 	63.0500 	90.000 	NO
C5_27 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	207.6800 	95.2900 	0.000 	YES
C5_28 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	197.9000 	101.8000 	0.000 	YES
C5_29 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	214.2000 	79.8000 	0.000 	YES
C5_30 	CP D_1_C1206_10UFX50V_Y5V 	10UFx50V_Y5V 	  	C1206 	217.1000 	93.2000 	180.000 	NO
C5_31 	CP D_1_C1206_10UFX50V_Y5V 	10UFx50V_Y5V 	  	C1206 	212.2000 	100.7100 	0.000 	YES
C5_32 	CP D_1_C1206_10UFX25V_Y5V 	10UFx25V_Y5V 	  	C1206 	212.2000 	103.1800 	0.000 	YES
C5_33 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	62.9000 	28.1000 	90.000 	YES
C5_34 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	62.6000 	39.5000 	270.000 	YES
C5_35 	C0805_1_C0603_18PF 	18pF 	  	C0603 	204.5300 	102.9500 	90.000 	YES
C5_36 	C0805_1_C1206_10UFX25V 	10uFx25V 	  	C1206 	104.5000 	127.2000 	0.000 	YES
C5_37 	C0805_1_C0805_1UFX25V 	1uFx25V 	  	C0805 	131.5200 	105.3700 	90.000 	NO
C5_38 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	130.8100 	104.7300 	270.000 	YES
C5_39 	C0805_1_C1206_10UFX25V 	10uFx25V 	  	C1206 	128.8400 	105.3200 	270.000 	YES
C5_40 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	79.8200 	25.1300 	270.000 	YES
C5_41 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	86.8000 	26.1000 	0.000 	NO
C5_42 	CP D_0_DCASE_100UFX25V_T521X107 	100UFx25V 	  	DCASE 	112.5800 	127.6300 	270.000 	NO
C5_45 	C0805_1_C1206_10UFX25V 	10uFx25V 	  	C1206 	110.4100 	119.9900 	0.000 	NO
C5_53 	CP D_0_DCASE_100UFX25V_T521X107 	100UFx25V 	  	DCASE 	109.2000 	18.5000 	90.000 	NO
C5_57 	C0805_1_C1206_100UFX6.3V_GRM31C 	100ufx6.3v 	  	C1206 	118.2000 	97.1000 	90.000 	NO
C5_60 	C0603_3_C1210_100UFX6.3V_GRM32E 	100uFx6.3V 	  	C1210 	120.6000 	105.9000 	90.000 	NO
C5_61 	C0805_1_C1206_100UFX6.3V_GRM31C 	100ufx6.3v 	  	C1206 	70.6200 	130.1000 	90.000 	YES
C5_63 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	101.3000 	24.0000 	180.000 	YES
C5_65 	C0805_1_C0603_1UFX25V 	1uFx25V 	  	C0603 	88.5000 	12.4000 	0.000 	YES
C5_68 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	96.7000 	24.1500 	180.000 	YES
C5_69 	CP D_0_DCASE_100UFX25V_T521X107 	100UFx25V 	  	DCASE 	92.7974 	27.5746 	180.000 	NO
C5_70 	CP D_1_C1210_10UFX50V_Y5V 	10UFx50V_Y5V 	  	C1210 	106.2000 	9.0000 	270.000 	NO
C5_71 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	75.6500 	29.8700 	90.000 	NO
C5_72 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	76.9800 	25.3100 	270.000 	NO
C5_73 	CP D_0_350TXW8X30_POS_22UFX350V 	22UFx350V 	  	350TXW8X30_POS 	72.5000 	13.5000 	0.000 	NO
C5_74 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	74.6700 	26.3900 	90.000 	NO
C5_75 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	72.5500 	28.8900 	180.000 	NO
C5_76 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	55.9000 	42.6000 	270.000 	YES
C5_77 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	58.2000 	27.8000 	270.000 	YES
C5_78 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	231.8300 	66.3800 	90.000 	NO
C5_79 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	233.7400 	57.9900 	0.000 	NO
C5_80 	C0603_3_C0603_2.2UFX16V 	2.2uFx16V 	  	C0603 	233.7900 	56.4600 	0.000 	NO
C5_83 	CP D_0_DCASE_100UFX25V_T521X107 	100UFx25V 	  	DCASE 	79.8000 	118.1000 	270.000 	NO
C5_84 	CP D_0_DCASE_100UFX25V_T521X107 	100UFx25V 	  	DCASE 	101.5500 	117.6000 	180.000 	NO
C5_85 	C0805_1_C1206_10UFX25V 	10uFx25V 	  	C1206 	104.5400 	124.6600 	180.000 	YES
C5_90 	C_C2220_2.2UFX250V_CGA9P3X7T2E2 	2.2uFx250V 	  	C2220 	82.0000 	5.2000 	270.000 	YES
C5_91 	C_C2220_2.2UFX250V_CGA9P3X7T2E2 	2.2uFx250V 	  	C2220 	82.0000 	13.2000 	270.000 	YES
C5_92 	CP D_1_C1206_10UFX50V 	10UFx50V 	  	C1206 	233.6000 	80.4000 	270.000 	NO
C5_93 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	83.0900 	129.0900 	270.000 	YES
C5_94 	C0805_1_C1206_10UFX25V 	10uFx25V 	  	C1206 	81.1000 	130.0400 	270.000 	YES
C5_96 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	81.3400 	128.3700 	90.000 	NO
C5_97 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	63.3900 	112.2900 	270.000 	NO
C5_99 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	108.9600 	127.3200 	270.000 	NO
C5_100 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	109.4600 	122.0000 	0.000 	NO
C5_102 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	72.8600 	109.4900 	270.000 	NO
C5_104 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	73.4300 	105.1400 	180.000 	NO
C5_106 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	72.6300 	102.8400 	90.000 	NO
C5_107 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	70.6700 	108.1300 	270.000 	NO
C5_110 	C0805_0_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	117.9000 	100.7000 	180.000 	NO
C5_111 	C0805_1_C0603_2.2UFX25V 	2.2uFx25V 	  	C0603 	132.7300 	104.7400 	90.000 	YES
C5_112 	C0805_0_C0603_0.33UFX25V 	0.33uFx25V 	  	C0603 	132.1700 	96.4600 	90.000 	NO
C5_113 	C0805_0_C0603_22NF 	22nF 	  	C0603 	136.6000 	105.8500 	0.000 	YES
C5_114 	C0805_0_C0603_1000PF 	1000pF 	  	C0603 	135.7500 	103.4700 	270.000 	YES
C5_115 	C0805_0_C0603_0.01UFX50V 	0.01uFx50V 	  	C0603 	123.5000 	97.4000 	180.000 	YES
C5_116 	C0805_1_C0805_1UFX25V 	1uFx25V 	  	C0805 	120.5800 	95.8500 	270.000 	YES
C5_117 	C0805_1_C0805_1UFX25V 	1uFx25V 	  	C0805 	121.4200 	104.3200 	0.000 	YES
C5_118 	C0805_1_C0805_1UFX25V 	1uFx25V 	  	C0805 	66.5600 	124.9600 	0.000 	NO
C5_119 	C0805_1_C0805_1UFX25V 	1uFx25V 	  	C0805 	93.6500 	120.8300 	90.000 	NO
C5_120 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	88.4600 	13.9100 	0.000 	YES
C5_121 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	89.0000 	23.8000 	270.000 	YES
C5_122 	C0805_1_C1210_22UFX25V 	22uFx25V 	  	C1210 	127.0000 	98.5000 	90.000 	YES
C5_5_1 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	93.8100 	10.5400 	180.000 	YES
C5_5_2 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	94.5000 	5.9000 	270.000 	YES
C5_61_2 	C0805_1_C1206_100UFX6.3V_GRM31C 	100ufx6.3v 	  	C1206 	73.3200 	130.1000 	90.000 	YES
C5_61_3 	C0805_1_C1206_100UFX6.3V_GRM31C 	100ufx6.3v 	  	C1206 	76.0200 	130.1000 	90.000 	YES
C5_61_4 	CP D_0_CAPMP7360X370_1500UFX6.3 	1500UFx6.3V 	  	CAPMP7360X370 	81.6000 	116.8000 	90.000 	YES
C5_61_5 	CP D_0_CAPMP7360X370_1500UFX6.3 	1500UFx6.3V 	  	CAPMP7360X370 	63.7000 	129.6000 	270.000 	YES
C5_61_6 	CP D_0_CAPMP7360X370_1500UFX6.3 	1500UFx6.3V 	  	CAPMP7360X370 	73.3500 	116.8200 	270.000 	NO
C5_61_7 	CP D_0_CAPMP7360X370_1500UFX6.3 	1500UFx6.3V 	  	CAPMP7360X370 	66.7000 	120.2600 	90.000 	YES
C5_61_8 	CP D_0_CAPMP7360X370_1500UFX6.3 	1500UFx6.3V 	  	CAPMP7360X370 	88.3000 	116.8000 	90.000 	YES
C5_61_9 	CP D_0_CAPMP7360X370_1500UFX6.3 	1500UFx6.3V 	  	CAPMP7360X370 	73.3000 	120.2700 	90.000 	YES
C5_62_1 	C0805_1_C1206_100UFX6.3V_GRM31C 	100ufx6.3v 	  	C1206 	100.5300 	126.5700 	90.000 	YES
C5_62_2 	C0805_1_C1206_100UFX6.3V_GRM31C 	100ufx6.3v 	  	C1206 	95.5300 	126.5700 	90.000 	YES
C5_62_3 	C0805_1_C1206_100UFX6.3V_GRM31C 	100ufx6.3v 	  	C1206 	98.0300 	126.5700 	90.000 	YES
C5_62_4 	CP D_0_CAPMP7360X370_1500UFX6.3 	1500UFx6.3V 	  	CAPMP7360X370 	90.6800 	128.2800 	90.000 	YES
C5_62_5 	CP D_0_CAPMP7360X370_1500UFX6.3 	1500UFx6.3V 	  	CAPMP7360X370 	86.5800 	108.7300 	0.000 	YES
C5_62_6 	CP D_0_CAPMP7360X370_1500UFX6.3 	1500UFx6.3V 	  	CAPMP7360X370 	85.5800 	112.3600 	270.000 	NO
C6_1 	C0603_3_C1210_100UFX6.3V_GRM32E 	100uFx6.3V 	  	C1210 	117.1000 	91.4000 	0.000 	NO
C6_2 	C0603_3_C0805_47UFX6.3V 	47uFx6.3V 	  	C0805 	112.7800 	92.1500 	0.000 	YES
C6_3 	C0603_3_C0805_47UFX6.3V 	47uFx6.3V 	  	C0805 	105.7700 	92.1800 	180.000 	YES
C6_4 	C0603_3_C0805_47UFX6.3V 	47uFx6.3V 	  	C0805 	99.8400 	78.6900 	0.000 	YES
C6_5 	C0603_3_C0805_47UFX6.3V 	47uFx6.3V 	  	C0805 	95.1600 	78.7600 	180.000 	YES
C6_6 	C0603_3_C0805_47UFX6.3V 	47uFx6.3V 	  	C0805 	99.9800 	88.1000 	0.000 	YES
C6_7 	C0603_3_C0805_47UFX6.3V 	47uFx6.3V 	  	C0805 	95.3200 	88.1700 	180.000 	YES
C6_8 	C0603_3_C0805_47UFX6.3V 	47uFx6.3V 	  	C0805 	117.0300 	43.0700 	90.000 	YES
C6_9 	C0603_3_C0805_47UFX6.3V 	47uFx6.3V 	  	C0805 	109.6600 	44.6400 	0.000 	YES
C6_10 	C0805_0_C0402_0.01UFX50V 	0.01uFx50V 	  	C0402 	115.2000 	42.7700 	270.000 	YES
C6_11 	C0603_3_C0805_47UFX6.3V 	47uFx6.3V 	  	C0805 	108.8100 	46.8600 	0.000 	YES
C6_12 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	116.5100 	48.5300 	90.000 	YES
C6_14 	C0805_0_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	85.2800 	81.0800 	90.000 	NO
C6_17 	C0603_3_C1210_100UFX6.3V_GRM32E 	100uFx6.3V 	  	C1210 	106.5400 	95.4600 	180.000 	YES
C6_18 	C0603_3_C0805_47UFX6.3V 	47uFx6.3V 	  	C0805 	90.2500 	83.7200 	0.000 	NO
C6_19 	C0603_3_C1210_100UFX6.3V_GRM32E 	100uFx6.3V 	  	C1210 	97.4000 	86.7000 	270.000 	NO
C6_20 	C0603_3_C1210_100UFX6.3V_GRM32E 	100uFx6.3V 	  	C1210 	109.8000 	85.9000 	270.000 	NO
C6_21 	C0603_3_C1210_100UFX6.3V_GRM32E 	100uFx6.3V 	  	C1210 	105.8000 	85.9000 	270.000 	NO
D1 	MAX6126B25_0_UMAX8_MAX6126B25+ 	MAX6126B25+ 	  	UMAX8 	65.1000 	93.8000 	180.000 	YES
D2 	AD8605ARTZ_0_SOT23-5_AD8605ARTZ 	AD8605ARTZ 	  	SOT23-5 	61.5100 	86.3400 	180.000 	YES
D3 	AD9707BCPZ_8_VFQFN32_05_EPAD_5X 	AD9707BCPZ 	  	VFQFN32_05_EPAD_5X5MM 	66.6000 	77.4000 	270.000 	YES
D4 	ADA4899-1YCPZ_0_LFCSP-8_ADA4899 	ADA4899-1YCPZ 	  	LFCSP-8 	62.7000 	90.4000 	0.000 	NO
DA1 	MAX14572_5_TSSOP14EP_MAX14572 	MAX14572 	  	TSSOP14EP 	237.4500 	79.0600 	90.000 	NO
DA2 	RX-8803LC_12-VSOJ_RX-8803LC 	RX-8803LC 	  	12-VSOJ 	26.0400 	15.7400 	90.000 	YES
DA10 	MIC842LYC5_3_SC70-5_MIC841LYC5 	MIC841LYC5 	  	SC70-5 	64.7400 	64.6300 	90.000 	NO
DA18 	SN65220DBVT_0_SOT23-6_SN65220DB 	SN65220DBVT 	  	SOT23-6 	49.9700 	67.7600 	180.000 	YES
DA19 	SN65220DBVT_0_SOT23-6_SN65220DB 	SN65220DBVT 	  	SOT23-6 	54.7700 	74.7500 	270.000 	YES
DA20 	SN65220DBVT_0_SOT23-6_SN65220DB 	SN65220DBVT 	  	SOT23-6 	54.8400 	78.5600 	90.000 	YES
DA21 	MAX14934_1_WSOIC_16_MAX14935CAW 	MAX14935CAWE+ 	  	WSOIC_16 	55.6700 	77.2300 	90.000 	NO
DA26 	AQW210S_SOP8_MINI_AQW210S 	AQW210S 	  	SOP8_MINI 	53.9000 	64.7000 	90.000 	NO
DA27 	TPS76933_2_SOT23-5_RT9193-18GB 	RT9193-18GB 	  	SOT23-5 	89.9100 	103.2500 	0.000 	YES
DA28 	STM6904TWEDS6F_TSSOP8_065_STM69 	STM6904TWEDS6F 	  	TSSOP8_065 	96.3600 	77.9400 	180.000 	NO
DA29 	TPS76933_0_TSOT6_ADR127AUJZ-R2 	ADR127AUJZ-R2 	  	TSOT6 	71.3800 	61.7900 	0.000 	NO
DA1_1 	MIC44F19YML_0_MLF8_MIC44F19YML 	MIC44F19YML 	  	MLF8 	44.7000 	24.8000 	90.000 	NO
DA1_2 	MIC44F18YML_0_MLF8_MIC44F20YML 	MIC44F20YML 	  	MLF8 	53.3000 	24.9000 	90.000 	NO
DA1_3 	MIC44F19YML_0_MLF8_MIC44F19YML 	MIC44F19YML 	  	MLF8 	33.8000 	24.9000 	90.000 	NO
DA1_4 	MIC44F18YML_0_MLF8_MIC44F20YML 	MIC44F20YML 	  	MLF8 	26.5000 	24.9000 	90.000 	NO
DA1_5 	MIC44F19YML_0_MLF8_MIC44F19YML 	MIC44F19YML 	  	MLF8 	28.6510 	25.8000 	0.000 	YES
DA1_6 	MIC44F18YML_0_MLF8_MIC44F20YML 	MIC44F20YML 	  	MLF8 	21.0510 	25.8000 	0.000 	YES
DA1_7 	MIC44F19YML_0_MLF8_MIC44F19YML 	MIC44F19YML 	  	MLF8 	37.8510 	25.4000 	0.000 	YES
DA1_8 	MIC44F18YML_0_MLF8_MIC44F20YML 	MIC44F20YML 	  	MLF8 	44.6510 	27.2000 	0.000 	YES
DA2_1 	AQY221N2V_SSOP4_AQY221N2V 	AQY221N2V 	  	SSOP4 	14.8000 	77.3000 	0.000 	YES
DA2_2 	AQY221N2V_SSOP4_AQY221N2V 	AQY221N2V 	  	SSOP4 	21.3600 	83.6400 	0.000 	YES
DA2_3 	MAX4564EUA_UMAX8_MAX4564EUA+ 	MAX4564EUA+ 	  	UMAX8 	41.6000 	75.2000 	0.000 	YES
